year,GoogleScholarArticles
1950,1
1951,3
1952,2
1953,1
1954,1
1955,4
1956,1
1957,5
1958,4
1959,2
1960,4
1961,0
1962,1
1963,1
1964,4
1965,2
1966,2
1967,4
1968,8
1969,4
1970,7
1971,10
1972,5
1973,8
1974,11
1975,19
1976,7
1977,22
1978,16
1979,21
1980,39
1981,18
1982,28
1983,41
1984,25
1985,33
1986,33
1987,69
1988,69
1989,80
1990,87
1991,79
1992,90
1993,96
1994,99
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,278
2011,298
2012,321
2013,269
2014,349
2015,254
2016,324
2017,316
2018,238
2019,201
2020,178
